조사일,상품명,업태,평균판매가격
2024-12-20,동서현미녹차(100개입),편의점,9225
2024-12-20,국순당 우국생(750ml),백화점,2200
2024-12-20,국순당 우국생(750ml),기업형슈퍼,2100
2024-12-20,국순당 우국생(750ml),편의점,1700
2024-12-20,서울장수생막걸리(750ml),대형마트,1665
2024-12-20,서울장수생막걸리(750ml),백화점,1900
2024-12-20,서울장수생막걸리(750ml),기업형슈퍼,1697
2024-12-20,서울장수생막걸리(750ml),편의점,2000
2024-12-20,썬 부탄가스(4개),대형마트,6790
2024-12-20,썬 부탄가스(4개),기업형슈퍼,7483
2024-12-20,오뚜기 크림스프(80g),대형마트,1980
2024-12-20,오뚜기 크림스프(80g),백화점,2220
2024-12-20,오뚜기 크림스프(80g),기업형슈퍼,2383
2024-12-20,오뚜기 크림스프(80g),편의점,2500
2024-12-20,청정원 순창 양념듬뿍 쌈장(500g),대형마트,3710
2024-12-20,청정원 순창 양념듬뿍 쌈장(500g),백화점,3085
2024-12-20,청정원 순창 양념듬뿍 쌈장(500g),기업형슈퍼,5653
2024-12-20,청정원 순창 양념듬뿍 쌈장(500g),편의점,3950
2024-12-20,해표 순창궁 양념쌈장(500g),대형마트,4980
2024-12-20,해표 순창궁 양념쌈장(500g),백화점,3590
2024-12-20,해표 순창궁 양념쌈장(500g),기업형슈퍼,2680
2024-12-20,게토레이 레몬(600ml),대형마트,1965
2024-12-20,게토레이 레몬(600ml),백화점,1953
2024-12-20,게토레이 레몬(600ml),기업형슈퍼,1478
2024-12-20,게토레이 레몬(600ml),편의점,2200
2024-12-20,신라면(5개입),대형마트,3900
2024-12-20,신라면(5개입),백화점,4672
2024-12-20,신라면(5개입),기업형슈퍼,3900
2024-12-20,신라면(5개입),편의점,4750
2024-12-20,곰표 밀가루 중력다목적용(1kg),대형마트,1790
2024-12-20,곰표 밀가루 중력다목적용(1kg),백화점,1790
2024-12-20,곰표 밀가루 중력다목적용(1kg),기업형슈퍼,2233
2024-12-20,해찬들 사계절 쌈장(500g),대형마트,5580
2024-12-20,해찬들 사계절 쌈장(500g),백화점,2742
2024-12-20,해찬들 사계절 쌈장(500g),기업형슈퍼,6009
2024-12-20,해찬들 사계절 쌈장(500g),편의점,4900
2024-12-20,드봉 스위트로즈(4개),대형마트,7425
2024-12-20,드봉 스위트로즈(4개),백화점,7488
2024-12-20,드봉 스위트로즈(4개),기업형슈퍼,4950
2024-12-20,동원참치 라이트스탠다드(150g),백화점,3125
2024-12-20,동원참치 라이트스탠다드(150g),기업형슈퍼,2680
2024-12-20,동원참치 라이트스탠다드(150g),편의점,4400
2024-12-20,참크래커(280g),대형마트,3360
2024-12-20,참크래커(280g),백화점,3533
2024-12-20,참크래커(280g),기업형슈퍼,3188
2024-12-20,참크래커(280g),편의점,4170
2024-12-20,참이슬 후레쉬(360ml),대형마트,1340
2024-12-20,참이슬 후레쉬(360ml),백화점,1637
2024-12-20,참이슬 후레쉬(360ml),기업형슈퍼,1422
2024-12-20,참이슬 후레쉬(360ml),편의점,1900
2024-12-20,해찬들 100% 태양초 우리쌀 고추장(1kg),대형마트,9980
2024-12-20,해찬들 100% 태양초 우리쌀 고추장(1kg),백화점,9755
2024-12-20,해찬들 100% 태양초 우리쌀 고추장(1kg),기업형슈퍼,22480
2024-12-20,맥스 부탄가스(4개),대형마트,6790
2024-12-20,맥스 부탄가스(4개),백화점,8200
2024-12-20,맥스 부탄가스(4개),기업형슈퍼,8612
2024-12-20,스페셜K 오리지널(480g),백화점,9780
2024-12-20,해피바스 오리지널컬렉션 솝 라벤더 비누(4개),대형마트,7425
2024-12-20,해피바스 오리지널컬렉션 솝 라벤더 비누(4개),백화점,6868
2024-12-20,해피바스 오리지널컬렉션 솝 라벤더 비누(4개),기업형슈퍼,6429
2024-12-20,맥스웰 하우스 오리지날(180개입),대형마트,19680
2024-12-20,맥스웰 하우스 오리지날(180개입),백화점,24500
2024-12-20,맥스웰 하우스 오리지날(180개입),기업형슈퍼,21980
2024-12-20,아이시스(2L),대형마트,960
2024-12-20,아이시스(2L),백화점,830
2024-12-20,아이시스(2L),기업형슈퍼,711
2024-12-20,아이시스(2L),편의점,1950
2024-12-20,스프라이트(1.5L),대형마트,2880
2024-12-20,스프라이트(1.5L),백화점,2515
2024-12-20,스프라이트(1.5L),기업형슈퍼,3005
2024-12-20,스프라이트(1.5L),편의점,3500
2024-12-20,온더바디 로맨틱 아이리스향 바디워시(900ml),대형마트,4900
2024-12-20,온더바디 로맨틱 아이리스향 바디워시(900ml),백화점,7520
2024-12-20,온더바디 로맨틱 아이리스향 바디워시(900ml),기업형슈퍼,6900
2024-12-20,하이트 엑스트라 콜드(6캔),대형마트,9050
